filename,genre
Cotton-EyedJoe.ogg,folk
Habaneras.ogg,classical
Every Day Will Be Sunday When the Town Goes Dry - Edward Meeker (1919).ogg,spoken
Encore (feat. GUMI English) - official audio.ogg,pop
Be Thankful Song.ogg,folk
Everybody gives me good advice - Bob Roberts 1906.ogg,spoken
Cohen Owes Me 97 Dollars .ogg,spoken
Boykisser song.wav,pop
Golden Vanity.ogg,folk
Daisy Bell sung by DECtalk (2).flac,spoken
ArtieShaw-DayAfterDay1938.ogg,jazz
Harvest Hymn.ogg,folk
ElsieBaker-ILoveYouTruly.ogg,spoken
"Beautiful Ohio - Henry Burr & Ruth Lenox, 1919.ogg",spoken
Al Bowly - Guilty.ogg,spoken
Daisy Bell sung by DECtalk.flac,spoken
Eagle Song of the Hopi Indians of AZ.ogg,traditional
Good Liquor Gonna Carry Me Down.ogg,folk
"Dibdin - Oh, What A Charming Thing's A Battle.ogg",spoken
আমি বনফুল গো.mp3,pop
এই পথ যদি না শেষ হয় (দ্বৈত).mp3,pop
আমি খাতার পাতায় চেয়েছিলাম.mp3,pop
আকাশ প্রদীপ জ্বলে.mp3,pop
আমি সাগরের বেলা.mp3,pop
আমি টাকডুম টাকডুম বাজাই.mp3,pop
আমি নিরালায় বসে.mp3,pop
এই কূলে আমি.mp3,pop
আমি এত যে তোমায় ভালবেসেছি.mp3,pop
এই রাত তোমার আমার.mp3,pop
