filename,language,lyrics
Cotton-EyedJoe.ogg,english,
Habaneras.ogg,english,
Every Day Will Be Sunday When the Town Goes Dry - Edward Meeker (1919).ogg,english,
Encore (feat. GUMI English) - official audio.ogg,english,
Be Thankful Song.ogg,english,
Everybody gives me good advice - Bob Roberts 1906.ogg,english,
Cohen Owes Me 97 Dollars .ogg,english,
Boykisser song.wav,english,
Golden Vanity.ogg,english,
Daisy Bell sung by DECtalk (2).flac,english,
ArtieShaw-DayAfterDay1938.ogg,english,
Harvest Hymn.ogg,english,
ElsieBaker-ILoveYouTruly.ogg,english,
"Beautiful Ohio - Henry Burr & Ruth Lenox, 1919.ogg",english,
Al Bowly - Guilty.ogg,english,
Daisy Bell sung by DECtalk.flac,english,
Eagle Song of the Hopi Indians of AZ.ogg,english,
Good Liquor Gonna Carry Me Down.ogg,english,
"Dibdin - Oh, What A Charming Thing's A Battle.ogg",english,
আমি বনফুল গো.mp3,bangla,
এই পথ যদি না শেষ হয় (দ্বৈত).mp3,bangla,
আমি খাতার পাতায় চেয়েছিলাম.mp3,bangla,
আকাশ প্রদীপ জ্বলে.mp3,bangla,
আমি সাগরের বেলা.mp3,bangla,
আমি টাকডুম টাকডুম বাজাই.mp3,bangla,
আমি নিরালায় বসে.mp3,bangla,
এই কূলে আমি.mp3,bangla,
আমি এত যে তোমায় ভালবেসেছি.mp3,bangla,
এই রাত তোমার আমার.mp3,bangla,
